method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,pool,code_seed
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,29,500,0.5,True,True,False,0.5,0.004131327999857604,8,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,29,600,0.6,True,True,False,0.4,0.003961917998822173,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,29,500,0.5,True,True,False,0.5,0.004446443999768235,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,30,500,0.5,True,True,False,0.5,0.00963612700070371,26,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,30,500,0.5,True,True,False,0.5,0.004811722001250018,10,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,30,600,0.6,True,True,False,0.4,0.004262259000824997,7,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,30,500,0.5,True,True,False,0.5,0.0069055469994054874,17,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,31,500,0.5,True,True,False,0.5,0.004168500001469511,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,31,500,0.5,True,True,False,0.5,0.0035517859996616608,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,31,600,0.6,True,True,False,0.4,0.003779376000238699,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,31,500,0.5,True,True,False,0.5,0.004481689999010996,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,32,500,0.5,False,False,False,0.0,0.038596929000050295,120,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,32,500,0.5,True,True,False,0.5,0.005365184000766021,12,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,32,600,0.6,True,True,False,0.4,0.003928951000489178,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,32,500,0.5,True,True,False,0.5,0.0047424160002265126,10,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,33,500,0.5,True,True,False,0.5,0.004470369000046048,9,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,33,500,0.5,True,True,False,0.5,0.0038249189983616816,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,33,600,0.6,True,True,False,0.4,0.00361780599996564,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,33,500,0.5,True,True,False,0.5,0.0035145580004609656,6,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,34,500,0.5,True,True,False,0.5,0.012252626000190503,34,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,34,500,0.5,True,True,False,0.5,0.00538600999971095,12,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,34,600,0.6,True,True,False,0.4,0.004246006001267233,7,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,34,500,0.5,True,True,False,0.5,0.004126261001147213,8,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,35,500,0.5,True,True,False,0.5,0.004129445000216947,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,35,500,0.5,True,True,False,0.5,0.003823884999292204,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,35,600,0.6,True,True,False,0.4,0.0035945729996456066,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,35,500,0.5,True,True,False,0.5,0.003824400000667083,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,36,500,0.5,False,False,False,0.0,0.038809767000202555,120,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,36,500,0.5,True,True,False,0.5,0.005688430001100642,13,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,36,600,0.6,True,True,False,0.4,0.0049233839999942575,9,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,36,500,0.5,True,True,False,0.5,0.004799031999937142,10,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,37,500,0.5,True,True,False,0.5,0.005404485000326531,12,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,37,500,0.5,True,True,False,0.5,0.003237347998947371,5,aware-pipeline,0,0
