method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,model
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,43,500,0.5,True,True,False,0.5,0.0034984100002475316,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,43,500,0.5,True,True,False,0.5,0.0035038309997617034,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,44,500,0.5,True,True,False,0.5,0.018276664000950404,54,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,44,500,0.5,True,True,False,0.5,0.01981287599846837,59,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,44,500,0.5,True,True,False,0.5,0.019839397999021458,59,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,45,500,0.5,True,True,False,0.5,0.004756251000799239,10,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,45,500,0.5,True,True,False,0.5,0.0035145109995937673,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,45,500,0.5,True,True,False,0.5,0.0035124810001434525,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,46,500,0.5,True,True,False,0.5,0.003532382001139922,6,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,46,500,0.5,True,True,False,0.5,0.0031958439994923538,5,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,46,500,0.5,True,True,False,0.5,0.00319944000148098,5,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,47,500,0.5,True,True,False,0.5,0.004449539999768604,9,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,47,500,0.5,True,True,False,0.5,0.0038157199996931013,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,47,500,0.5,True,True,False,0.5,0.003816427999481675,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,48,500,0.5,True,True,False,0.5,0.004127488000449375,8,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,48,500,0.5,True,True,False,0.5,0.0038165620007930556,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,48,500,0.5,True,True,False,0.5,0.0038225459993554978,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,49,500,0.5,False,False,False,0.0,0.03829933700035326,120,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,49,500,0.5,True,True,False,0.5,0.005377257999498397,12,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,49,500,0.5,True,True,False,0.5,0.005347055001038825,12,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,50,500,0.5,True,True,False,0.5,0.008119371999782743,21,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,50,500,0.5,True,True,False,0.5,0.006303989999651094,14,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,50,500,0.5,True,True,False,0.5,0.006024869000611943,14,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,51,500,0.5,False,False,False,0.0,0.03868956899896148,120,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,51,500,0.5,False,False,False,0.0,0.03902473499874759,120,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,51,500,0.5,False,False,False,0.0,0.03890202699949441,120,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,52,500,0.5,True,True,False,0.5,0.003298580999398837,5,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,52,500,0.5,True,True,False,0.5,0.0032120470004883828,5,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,52,500,0.5,True,True,False,0.5,0.003233617999285343,5,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,53,500,0.5,True,True,False,0.5,0.004781011999511975,10,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,53,500,0.5,True,True,False,0.5,0.0038380139994842466,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,53,500,0.5,True,True,False,0.5,0.003821582000455237,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,54,500,0.5,True,True,False,0.5,0.005700748999515781,13,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,54,500,0.5,True,True,False,0.5,0.004465034000531887,9,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,54,500,0.5,True,True,False,0.5,0.004440394999619457,9,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,55,500,0.5,True,True,False,0.5,0.005056095000327332,11,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,55,500,0.5,True,True,False,0.5,0.0038155580004968215,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,55,500,0.5,True,True,False,0.5,0.0038161020002007717,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,56,500,0.5,True,True,False,0.5,0.0032339969984604977,5,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,56,500,0.5,True,True,False,0.5,0.003198820999386953,5,aware-same-rate,depolarizing
