method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,16,1%,0.009229349330872173,0.009615384615384616,30,3,0.1875,True,True,False,0.8125,5.30440001966781e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,30,16,1.0,True,True,False,0.0,1.1234999874432106e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,31,3,0.1875,True,True,False,0.8125,5.5096000323828775e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,31,16,1.0,True,True,False,0.0,1.1316999916743953e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,32,3,0.1875,True,True,False,0.8125,5.4783999985374976e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,32,16,1.0,True,True,False,0.0,1.1340000128257088e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,33,3,0.1875,True,True,False,0.8125,5.501199939317303e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,33,16,1.0,True,True,False,0.0,1.1244999768678099e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,34,3,0.1875,True,True,False,0.8125,5.3421999837155454e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,34,16,1.0,True,True,False,0.0,1.1393000022508204e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,35,3,0.1875,True,True,False,0.8125,5.3603999731421936e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,35,16,1.0,True,True,False,0.0,1.1357000403222628e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,36,3,0.1875,True,True,False,0.8125,5.308399977366207e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,36,16,1.0,True,True,False,0.0,1.1473999620648101e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,37,3,0.1875,True,True,False,0.8125,5.326400059857406e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,37,16,1.0,True,True,False,0.0,1.1124999218736775e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,38,3,0.1875,True,True,False,0.8125,5.342799977370305e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,38,16,1.0,True,True,False,0.0,1.1297000128251966e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,39,3,0.1875,True,True,False,0.8125,5.289599994284799e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,39,16,1.0,True,True,False,0.0,1.1255000572418794e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,40,3,0.1875,True,True,False,0.8125,5.3439000112120993e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,40,16,1.0,True,True,False,0.0,1.152400000137277e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,41,3,0.1875,False,False,False,0.0,0.003597549999540206,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,41,16,1.0,True,True,False,0.0,1.893399985419819e-05,10
LDPC,16,1%,0.009229349330872173,0.009615384615384616,42,3,0.1875,True,True,False,0.8125,5.9005999901273753e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,42,16,1.0,True,True,False,0.0,1.1758999789890368e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,43,3,0.1875,True,True,False,0.8125,5.677999979525339e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,43,16,1.0,True,True,False,0.0,1.1347000508976635e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,44,3,0.1875,True,True,False,0.8125,5.4350999562302604e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,44,16,1.0,True,True,False,0.0,1.1287000234005973e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,45,3,0.1875,True,True,False,0.8125,5.8380999689688906e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,45,16,1.0,True,True,False,0.0,1.1926000297535211e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,46,3,0.1875,True,True,False,0.8125,5.417600004875567e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,46,16,1.0,True,True,False,0.0,1.1301000085950363e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,47,3,0.1875,True,True,False,0.8125,5.4167000598681625e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,47,16,1.0,True,True,False,0.0,1.1331000678183045e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,48,3,0.1875,True,True,False,0.8125,5.544600026041735e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,48,16,1.0,True,True,False,0.0,1.1006000022462104e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,49,3,0.1875,True,True,False,0.8125,5.574300030275481e-05,1
