method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,6,1000,0.25,True,True,False,0.75,0.027408253000430705,5
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,6,609,0.15225,False,False,False,0.0,0.4126294219995543,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,7,1000,0.25,True,True,False,0.75,0.03178750200004288,7
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,7,609,0.15225,False,False,False,0.0,0.40762461699978303,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,8,1000,0.25,True,True,False,0.75,0.033309832999293576,8
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,8,609,0.15225,False,False,False,0.0,0.4114328730001944,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,9,1000,0.25,True,True,False,0.75,0.026471752000361448,5
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,9,609,0.15225,False,False,False,0.0,0.4110468310000215,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,0,32,0.5,True,True,False,0.5,0.0003756300002351054,5
GRAND,64,6%,0.06486860304287691,0.061625941293991085,0,38,0.59375,True,True,False,0.40625,0.11629239499961841,660894
LDPC,64,6%,0.06486860304287691,0.061625941293991085,1,32,0.5,True,True,False,0.5,0.00027084799967269646,4
GRAND,64,6%,0.06486860304287691,0.061625941293991085,1,38,0.59375,True,True,False,0.40625,0.02875533600035851,158236
LDPC,64,6%,0.06486860304287691,0.061625941293991085,2,32,0.5,True,True,False,0.5,0.0005765550004070974,15
GRAND,64,6%,0.06486860304287691,0.061625941293991085,2,38,0.59375,True,True,False,0.40625,0.23987312799999927,1334718
LDPC,64,6%,0.06486860304287691,0.061625941293991085,3,32,0.5,True,True,False,0.5,0.00016286900063278154,1
GRAND,64,6%,0.06486860304287691,0.061625941293991085,3,38,0.59375,True,True,False,0.40625,0.0001757079999151756,629
LDPC,64,6%,0.06486860304287691,0.061625941293991085,4,32,0.5,True,True,False,0.5,8.291300036944449e-05,1
GRAND,64,6%,0.06486860304287691,0.061625941293991085,4,38,0.59375,True,True,False,0.40625,1.4179000572767109e-05,1
LDPC,64,6%,0.06486860304287691,0.061625941293991085,5,32,0.5,True,True,False,0.5,9.108399990509497e-05,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,5,38,0.59375,True,True,False,0.40625,0.004822220999812998,26615
LDPC,64,6%,0.06486860304287691,0.061625941293991085,6,32,0.5,False,False,False,0.0,0.003142808000120567,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,6,38,0.59375,False,False,False,0.0,0.38086855199981073,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,7,32,0.5,False,False,False,0.0,0.0034951419993376476,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,7,38,0.59375,False,False,False,0.0,0.37083290699956706,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,8,32,0.5,True,True,False,0.5,0.00015740300023026066,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,8,38,0.59375,True,True,False,0.40625,0.0003161999993608333,1623
LDPC,64,6%,0.06486860304287691,0.061625941293991085,9,32,0.5,False,False,False,0.0,0.003042823000214412,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,9,38,0.59375,False,False,False,0.0,0.3769114400001854,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,10,32,0.5,True,True,False,0.5,0.0004055520003021229,7
GRAND,64,6%,0.06486860304287691,0.061625941293991085,10,38,0.59375,True,True,False,0.40625,0.07734028399954695,414783
LDPC,64,6%,0.06486860304287691,0.061625941293991085,11,32,0.5,False,False,False,0.0,0.0032861039999261266,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,11,38,0.59375,False,False,False,0.0,0.3742291029993794,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,12,32,0.5,False,False,False,0.0,0.0033290490000581485,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,12,38,0.59375,False,False,False,0.0,0.39292090900016774,2000000
