method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,budget
GRAND,16,1%,0.009229349330872173,0.009615384615384616,36,16,1.0,True,True,False,0.0,9.876000149233732e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,37,16,1.0,True,True,False,0.0,1.00050001492491e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,37,16,1.0,True,True,False,0.0,9.897999916574918e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,37,16,1.0,True,True,False,0.0,9.508999937679619e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,38,16,1.0,True,True,False,0.0,1.0186000508838333e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,38,16,1.0,True,True,False,0.0,1.037600031850161e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,38,16,1.0,True,True,False,0.0,9.845000022323802e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,39,16,1.0,True,True,False,0.0,1.0138000106962863e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,39,16,1.0,True,True,False,0.0,9.868999768514186e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,39,16,1.0,True,True,False,0.0,9.739000233821571e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,40,16,1.0,True,True,False,0.0,9.977000445360318e-06,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,40,16,1.0,True,True,False,0.0,9.946000318450388e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,40,16,1.0,True,True,False,0.0,9.594000403012615e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,41,16,1.0,True,True,False,0.0,1.6011999832699075e-05,10,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,41,16,1.0,True,True,False,0.0,1.5422000615217257e-05,10,100000
