method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,scheme
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,8,600,0.6,True,True,False,0.4,0.11285739999948419,9,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,8,600,0.6,True,True,False,0.4,0.06367039999895496,9,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,9,600,0.6,True,True,False,0.4,0.03501419999884092,9,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,9,600,0.6,True,True,False,0.4,0.03837810000186437,9,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,9,600,0.6,True,True,False,0.4,0.04308790000141016,9,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,10,600,0.6,True,True,False,0.4,0.09110559999680845,15,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,10,600,0.6,True,True,False,0.4,0.08547470000121393,28,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,10,600,0.6,True,True,False,0.4,0.09567819999938365,28,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,11,600,0.6,True,True,False,0.4,0.03834579999966081,13,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,11,600,0.6,True,True,False,0.4,0.03558970000085537,10,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,11,600,0.6,True,True,False,0.4,0.031340699999418575,10,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,12,600,0.6,True,True,False,0.4,0.04030330000023241,15,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,12,600,0.6,True,True,False,0.4,0.030383099998289254,11,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,12,600,0.6,True,True,False,0.4,0.032896999997319654,11,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,13,600,0.6,True,True,False,0.4,0.03228460000173072,11,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,13,600,0.6,True,True,False,0.4,0.021380000001954613,8,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,13,600,0.6,True,True,False,0.4,0.021788799997011665,8,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,14,600,0.6,True,True,False,0.4,0.024823399999149842,10,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,14,600,0.6,True,True,False,0.4,0.020709799999167444,7,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,14,600,0.6,True,True,False,0.4,0.022230900001886766,7,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,15,600,0.6,True,True,False,0.4,0.029215700000349898,11,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,15,600,0.6,True,True,False,0.4,0.02852060000077472,9,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,15,600,0.6,True,True,False,0.4,0.030535899997630622,9,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,16,600,0.6,True,True,False,0.4,0.16230480000012903,78,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,16,600,0.6,False,False,False,0.0,0.2326974000025075,120,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,16,600,0.6,False,False,False,0.0,0.23375579999992624,120,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,17,600,0.6,True,True,False,0.4,0.033576400001038564,15,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,17,600,0.6,True,True,False,0.4,0.026000600002589636,11,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,17,600,0.6,True,True,False,0.4,0.033070599998609396,11,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,18,600,0.6,True,True,False,0.4,0.03315370000200346,12,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,18,600,0.6,True,True,False,0.4,0.019889399998646695,6,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,18,600,0.6,True,True,False,0.4,0.016671200002747355,6,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,19,600,0.6,True,True,False,0.4,0.027388299997255672,10,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,19,600,0.6,True,True,False,0.4,0.026148100001591956,8,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,19,600,0.6,True,True,False,0.4,0.025330200001917547,8,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,20,600,0.6,True,True,False,0.4,0.02782660000229953,10,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,20,600,0.6,True,True,False,0.4,0.022460600001068087,8,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,20,600,0.6,True,True,False,0.4,0.022807199999078875,8,aware-pipeline,baseline
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,0,500,0.5,True,True,False,0.5,0.03096969999751309,14,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,0,500,0.5,True,True,False,0.5,0.028294200001255376,11,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,0,500,0.5,True,True,False,0.5,0.025880000001052395,11,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,1,500,0.5,True,True,False,0.5,0.02220590000069933,9,uniform,A
